"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"262","1990",1,"6–2","6","2","",NA,"","ARG","Gabriela Sabatini","FRG","Steffi Graf","6–2, 7–6(7–4)","F","WTA","S","USO"
"263","1990",2,"7–6","7","6","7–4","7","4","ARG","Gabriela Sabatini","FRG","Steffi Graf","6–2, 7–6(7–4)","F","WTA","S","USO"
"264","1991",1,"7–6","7","6","7–1","7","1","YUG","Monica Seles","USA","Martina Navratilova","7–6(7–1), 6–1","F","WTA","S","USO"
"265","1991",2,"6–1","6","1","",NA,"","YUG","Monica Seles","USA","Martina Navratilova","7–6(7–1), 6–1","F","WTA","S","USO"
"266","1992",1,"6–3","6","3","",NA,"","YUG","Monica Seles","ESP","Arantxa Sánchez Vicario","6–3, 6–3","F","WTA","S","USO"
"267","1992",2,"6–3","6","3","",NA,"","YUG","Monica Seles","ESP","Arantxa Sánchez Vicario","6–3, 6–3","F","WTA","S","USO"
"268","1993",1,"6–3","6","3","",NA,"","GER","Steffi Graf","CZE","Helena Suková","6–3, 6–3","F","WTA","S","USO"
"269","1993",2,"6–3","6","3","",NA,"","GER","Steffi Graf","CZE","Helena Suková","6–3, 6–3","F","WTA","S","USO"
"270","1994",1,"1–6","1","6","",NA,"","ESP","Arantxa Sánchez Vicario","GER","Steffi Graf","1–6, 7–6(7–3), 6–4","F","WTA","S","USO"
"271","1994",2,"7–6","7","6","7–3","7","3","ESP","Arantxa Sánchez Vicario","GER","Steffi Graf","1–6, 7–6(7–3), 6–4","F","WTA","S","USO"
"272","1994",3,"6–4","6","4","",NA,"","ESP","Arantxa Sánchez Vicario","GER","Steffi Graf","1–6, 7–6(7–3), 6–4","F","WTA","S","USO"
"273","1995",1,"7–6","7","6","8-6","8-6)","8-6","GER","Steffi Graf","USA","Monica Seles","7–6(8-6), 0–6, 6–3","F","WTA","S","USO"
"274","1995",2,"0–6","0","6","",NA,"","GER","Steffi Graf","USA","Monica Seles","7–6(8-6), 0–6, 6–3","F","WTA","S","USO"
"275","1995",3,"6–3","6","3","",NA,"","GER","Steffi Graf","USA","Monica Seles","7–6(8-6), 0–6, 6–3","F","WTA","S","USO"
"276","1996",1,"7–5","7","5","",NA,"","GER","Steffi Graf","USA","Monica Seles","7–5, 6–4","F","WTA","S","USO"
"277","1996",2,"6–4","6","4","",NA,"","GER","Steffi Graf","USA","Monica Seles","7–5, 6–4","F","WTA","S","USO"
